id,carat,cut,color,clarity,depth,table,price,x,y,z
23456,1.53,Very Good,H,VS2,60.9,63.0,11452,7.37,7.41,4.5
42644,0.5,Premium,H,VS2,60.9,59.0,1332,5.14,5.11,3.12
2032,0.9,Premium,H,SI2,59.6,59.0,3105,6.38,6.24,3.76
46687,0.58,Ideal,F,VS2,62.1,56.0,1790,5.37,5.33,3.32
15667,1.1,Premium,G,VS2,60.5,60.0,6284,6.67,6.58,4.01
35068,0.32,Very Good,F,VVS1,61.5,56.0,886,4.38,4.4,2.7
45060,0.57,Very Good,G,VS2,63.3,56.0,1641,5.3,5.25,3.34
7201,1.04,Very Good,I,SI1,64.1,57.0,4190,6.35,6.38,4.08
4277,0.9,Good,E,SI2,63.6,59.0,3584,6.05,6.09,3.86
38645,0.33,Ideal,F,VVS2,61.4,56.0,1040,4.49,4.44,2.74
41892,0.5,Good,G,VS2,59.3,65.0,1259,5.1,5.12,3.03
7273,1.04,Very Good,G,SI2,62.9,58.0,4200,6.43,6.47,4.06
31588,0.35,Premium,E,VS2,60.4,60.0,767,4.52,4.55,2.74
11423,1.2,Ideal,J,SI1,62.1,55.0,5002,6.81,6.84,4.24
21000,1.1,Ideal,G,VVS2,60.5,56.0,9215,6.76,6.7,4.07
11902,1.15,Premium,I,VS2,62.6,56.0,5120,6.74,6.67,4.2
30525,0.44,Good,H,SI1,63.5,57.0,733,4.82,4.85,3.07
3525,0.9,Very Good,I,SI1,61.0,58.0,3407,6.19,6.23,3.79
14908,1.2,Very Good,H,VS2,63.3,57.0,6000,6.78,6.68,4.26
46894,0.56,Ideal,F,VS2,62.6,55.0,1814,5.29,5.25,3.3
2743,0.65,Ideal,G,VVS1,61.9,56.0,3248,5.56,5.59,3.45
20110,1.5,Premium,I,SI1,61.8,58.0,8580,7.26,7.3,4.5
20289,1.01,Very Good,F,VVS1,63.4,55.0,8706,6.44,6.34,4.05
42098,0.44,Very Good,E,VVS2,60.7,57.0,1274,4.9,4.92,2.98
17634,1.02,Premium,D,VS2,62.7,58.0,7101,6.44,6.35,4.01
49823,0.7,Good,F,SI1,63.1,64.0,2167,5.61,5.58,3.53
16320,1.09,Ideal,D,SI1,61.3,55.9,6532,6.61,6.65,4.06
48443,0.51,Ideal,G,VVS2,62.6,57.0,1974,5.12,5.1,3.2
34671,0.31,Premium,E,VS2,62.6,58.0,872,4.33,4.29,2.7
44337,0.33,Very Good,H,VS2,62.2,57.0,521,4.42,4.46,2.76
46820,0.5,Ideal,D,VS2,61.2,55.0,1808,5.12,5.07,3.12
